
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID            Local Intf      Hold-time  Capability  Port ID  
sw-pr1-data-1.vtb24.rumgmt0           120        B           Eth104/1/3        
pN77-1-switch1       Eth1/1          120        BR          Eth1/6/3          
pN77-1-switch1       Eth1/2          120        BR          Eth1/6/4          
pN5k04-2.vtb         Eth1/3          120        B           Eth1/3            
pN5k04-2.vtb         Eth1/4          120        B           Eth1/4            
vdic-hv209h          Eth1/5          120        B           eth3              
vdic-hv209h          Eth1/6          120        B           eth4              
vdic-hv211h          Eth1/7          120        B           eth3              
vdic-hv211h          Eth1/8          120        B           eth4              
vdic-hv213h          Eth1/9          120        B           eth3              
vdic-hv213h          Eth1/10         120        B           eth4              
vdic-hv215h          Eth1/11         120        B           eth3              
vdic-hv215h          Eth1/12         120        B           eth4              
vdic-hv217h          Eth1/13         120        B           eth3              
vdic-hv217h          Eth1/14         120        B           eth4              
vdic-hv219h          Eth1/15         120        B           eth3              
vdic-hv219h          Eth1/16         120        B           eth4              
vdic-hv221h          Eth1/17         120        B           eth3              
vdic-hv221h          Eth1/18         120        B           eth4              
vdic-hv223h          Eth1/19         120        B           eth3              
vdic-hv223h          Eth1/20         120        B           eth4              
vdic-hv225h          Eth1/21         120        B           eth3              
vdic-hv225h          Eth1/22         120        B           eth4              
vdic-hv227h          Eth1/23         120        B           eth3              
vdic-hv227h          Eth1/24         120        B           eth4              
vdic-hv210h          Eth1/25         120        B           eth3              
vdic-hv210h          Eth1/26         120        B           eth4              
vdic-hv212h          Eth1/27         120        B           eth3              
vdic-hv212h          Eth1/28         120        B           eth4              
vdic-hv214h          Eth1/29         120        B           eth3              
vdic-hv214h          Eth1/30         120        B           eth4              
vdic-hv216h          Eth1/31         120        B           eth3              
vdic-hv216h          Eth1/32         120        B           eth4              
pN77-2-switch2       Eth2/1          120        BR          Eth1/6/3          
pN77-2-switch2       Eth2/2          120        BR          Eth1/6/4          
pN5k04-2.vtb         Eth2/3          120        B           Eth2/3            
pN5k04-2.vtb         Eth2/4          120        B           Eth2/4            
vdic-hv218h          Eth2/5          120        B           eth3              
vdic-hv218h          Eth2/6          120        B           eth4              
vdic-hv220h          Eth2/7          120        B           eth3              
vdic-hv220h          Eth2/8          120        B           eth4              
vdic-hv222h          Eth2/9          120        B           eth3              
vdic-hv222h          Eth2/10         120        B           eth4              
vdic-hv224h          Eth2/11         120        B           eth3              
vdic-hv224h          Eth2/12         120        B           eth4              
vdic-hv226h          Eth2/13         120        B           eth3              
vdic-hv226h          Eth2/14         120        B           eth4              
vdic-hv228h          Eth2/15         120        B           eth3              
vdic-hv228h          Eth2/16         120        B           eth4              
Total entries displayed: 49
